assembly_id	split	region	count
Arabidopsis_arenicola_GCA_964263825.1	train	background	987
Arabidopsis_arenicola_GCA_964263825.1	train	cds	156416
Arabidopsis_arenicola_GCA_964263825.1	train	exon	24211
Arabidopsis_arenosa_GCA_905216605.1	train	background	574
Arabidopsis_arenosa_GCA_905216605.1	train	cds	146776
Arabidopsis_arenosa_GCA_905216605.1	train	exon	47466
Arabidopsis_arenosa_GCA_905216605.1	train	gene	19026
Arabidopsis_arenosa_GCA_905216605.1	train	intron	130203
Arabidopsis_arenosa_GCA_905216605.1	train	mrna	330
Arabidopsis_halleri_GCA_964271285.1	train	background	942
Arabidopsis_halleri_GCA_964271285.1	train	cds	158395
Arabidopsis_halleri_GCA_964271285.1	train	exon	32089
Arabidopsis_halleri_GCA_964271285.1	train	five_prime_utr	26576
Arabidopsis_halleri_GCA_964271285.1	train	three_prime_utr	26697
Arabidopsis_lyrata_GCA_944990045.1	train	background	1454
Arabidopsis_lyrata_GCA_944990045.1	train	cds	150202
Arabidopsis_lyrata_GCA_944990045.1	train	exon	29778
Arabidopsis_lyrata_GCA_944990045.1	train	five_prime_utr	36751
Arabidopsis_lyrata_GCA_944990045.1	train	gene	229
Arabidopsis_lyrata_GCA_944990045.1	train	three_prime_utr	31538
Arabidopsis_suecica_GCA_019202805.1	train	background	1088
Arabidopsis_suecica_GCA_019202805.1	train	cds	295380
Arabidopsis_suecica_GCA_019202805.1	train	exon	76868
Arabidopsis_suecica_GCA_019202805.1	train	gene	43210
Arabidopsis_suecica_GCA_019202805.1	train	intron	246015
Arabidopsis_suecica_GCA_019202805.1	train	mrna	1824
Arabidopsis_thaliana_GCA_000001735.2	train	background	459
Arabidopsis_thaliana_GCA_000001735.2	train	cds	156557
Arabidopsis_thaliana_GCA_000001735.2	train	exon	96582
Arabidopsis_thaliana_GCA_000001735.2	train	five_prime_utr	23
Arabidopsis_thaliana_GCA_000001735.2	train	gene	23079
Arabidopsis_thaliana_GCA_000001735.2	train	intron	134591
Arabidopsis_thaliana_GCA_000001735.2	train	mrna	17794
Arabidopsis_thaliana_GCA_000001735.2	train	three_prime_utr	20
Arabidopsis_thaliana_GCA_000001735.2	train	transcript	510
Arabidopsis_thaliana_GCA_001651475.1	train	background	438
Arabidopsis_thaliana_GCA_001651475.1	train	cds	140311
Arabidopsis_thaliana_GCA_001651475.1	train	exon	58416
Arabidopsis_thaliana_GCA_001651475.1	train	gene	21458
Arabidopsis_thaliana_GCA_001651475.1	train	intron	118907
Arabidopsis_thaliana_GCA_001651475.1	train	mrna	1773
Arabidopsis_thaliana_GCA_051989455.1	train	background	460
Arabidopsis_thaliana_GCA_051989455.1	train	cds	143752
Arabidopsis_thaliana_GCA_051989455.1	train	exon	51100
Arabidopsis_thaliana_GCA_051989455.1	train	five_prime_utr	22869
Arabidopsis_thaliana_GCA_051989455.1	train	gene	23156
Arabidopsis_thaliana_GCA_051989455.1	train	intron	119904
Arabidopsis_thaliana_GCA_051989455.1	train	three_prime_utr	23322
Arabidopsis_thaliana_GCA_052361225.1	train	background	456
Arabidopsis_thaliana_GCA_052361225.1	train	cds	144298
Arabidopsis_thaliana_GCA_052361225.1	train	exon	51800
Arabidopsis_thaliana_GCA_052361225.1	train	five_prime_utr	23237
Arabidopsis_thaliana_GCA_052361225.1	train	gene	23466
Arabidopsis_thaliana_GCA_052361225.1	train	intron	120265
Arabidopsis_thaliana_GCA_052361225.1	train	three_prime_utr	23765
Arabidopsis_thaliana_GCA_902651935.1	train	background	459
Arabidopsis_thaliana_GCA_902651935.1	train	cds	139601
Arabidopsis_thaliana_GCA_902651935.1	train	gene	20516
Arabidopsis_thaliana_GCA_902651935.1	train	intron	112439
Arabidopsis_thaliana_GCA_902651935.1	train	mrna	132
Arabidopsis_thaliana_GCA_902705455.1	validation	background	459
Arabidopsis_thaliana_GCA_902705455.1	validation	cds	140175
Arabidopsis_thaliana_GCA_902705455.1	validation	gene	20495
Arabidopsis_thaliana_GCA_902705455.1	validation	intron	113062
Arabidopsis_thaliana_GCA_902705455.1	validation	mrna	175
Arabidopsis_thaliana_GCA_904420315.1	train	background	489
Arabidopsis_thaliana_GCA_904420315.1	train	cds	141109
Arabidopsis_thaliana_GCA_904420315.1	train	exon	52503
Arabidopsis_thaliana_GCA_904420315.1	train	gene	18902
Arabidopsis_thaliana_GCA_904420315.1	train	intron	127050
