split	context_len	region	available_windows	target_windows	target_tokens	sampling_fraction_of_available
train	4096	cds	15124186	292968	1199996928	0.01937083
train	4096	exon	3741941	146484	599998464	0.03914653
train	4096	five_prime_utr	487490	48828	199999488	0.10016205
train	4096	three_prime_utr	487415	48828	199999488	0.10017747
train	4096	intron	8485939	195312	799997952	0.02301596
train	4096	gene	1704398	48828	199999488	0.02864824
train	4096	mrna	370783	29296	119996416	0.07901117
train	4096	transcript	8676	8676	35536896	1.00000000
train	4096	background	822395	146484	599998464	0.17811879
validation	4096	all	4383039	50000	204800000	0.01140761
test	4096	all	2497254	50000	204800000	0.02002199
train	8192	cds	15090276	512695	4199997440	0.03397519
train	8192	exon	3731972	256347	2099994624	0.06868942
train	8192	five_prime_utr	486707	85449	699998208	0.17556559
train	8192	three_prime_utr	486690	85449	699998208	0.17557172
train	8192	intron	8465378	341796	2799992832	0.04037575
train	8192	gene	1699920	85449	699998208	0.05026648
train	8192	mrna	370546	51269	419995648	0.13836069
train	8192	transcript	8643	8643	70803456	1.00000000
train	8192	background	417004	256347	2099994624	0.61473511
validation	8192	all	4311272	50000	409600000	0.01159751
test	8192	all	2450760	50000	409600000	0.02040183
train	16384	cds	15017269	36621	599998464	0.00243859
train	16384	exon	3712572	18310	299991040	0.00493189
train	16384	five_prime_utr	485245	6103	99991552	0.01257715
train	16384	three_prime_utr	485319	6103	99991552	0.01257523
train	16384	intron	8424939	24414	399998976	0.00289783
train	16384	gene	1691589	6103	99991552	0.00360785
train	16384	mrna	370045	3662	59998208	0.00989609
train	16384	transcript	8579	2441	39993344	0.28453200
train	16384	background	214590	18310	299991040	0.08532550
validation	16384	all	4263206	50000	819200000	0.01172826
test	16384	all	2392336	50000	819200000	0.02090007
