split	context_len	region	available_windows	target_windows	target_tokens	sampling_fraction_of_available
train	8192	cds	11736039	147085	1204920320	0.01253276
train	8192	exon	2821486	73843	604921856	0.02617167
train	8192	five_prime_utr	397817	25014	204914688	0.06287816
train	8192	three_prime_utr	397597	25014	204914688	0.06291295
train	8192	intron	6703464	98257	804921344	0.01465765
train	8192	gene	1335929	25014	204914688	0.01872405
train	8192	mrna	274094	15249	124919808	0.05563420
train	8192	transcript	4962	4962	40648704	1.00000000
train	8192	background	323716	73843	604921856	0.22811044
validation	8192	all	4311272	50000	409600000	0.01159751
test	8192	all	2450760	50000	409600000	0.02040183
train	16384	cds	11693968	36621	599998464	0.00313161
train	16384	exon	2813195	18310	299991040	0.00650861
train	16384	five_prime_utr	397423	6104	100007936	0.01535895
train	16384	three_prime_utr	397258	6104	100007936	0.01536533
train	16384	intron	6677760	24414	399998976	0.00365602
train	16384	gene	1330842	6104	100007936	0.00458657
train	16384	mrna	273795	3662	59998208	0.01337497
train	16384	transcript	4933	2441	39993344	0.49483073
train	16384	background	165431	18310	299991040	0.11068059
validation	16384	all	4263206	50000	819200000	0.01172826
test	16384	all	2392336	50000	819200000	0.02090007
train	32768	cds	11621961	128632	4215013376	0.01106801
train	32768	exon	2799651	64545	2115010560	0.02305466
train	32768	five_prime_utr	396663	21820	714997760	0.05500891
train	32768	three_prime_utr	396556	21821	715030528	0.05502628
train	32768	intron	6638682	85907	2815000576	0.01294037
train	32768	gene	1323106	21820	714997760	0.01649150
train	32768	mrna	273291	13276	435027968	0.04857826
train	32768	transcript	4880	4880	159907840	1.00000000
train	32768	background	84323	64545	2115010560	0.76544952
validation	32768	all	4216214	50000	1638400000	0.01185898
test	32768	all	2306251	50000	1638400000	0.02168021
