split	context_len	region	shard_index	available_windows	target_windows
train	8192	cds	0	977509	3050
train	8192	cds	1	977623	3051
train	8192	cds	2	978135	3052
train	8192	cds	3	977880	3051
train	8192	cds	4	978467	3053
train	8192	cds	5	978169	3052
train	8192	cds	6	978469	3053
train	8192	cds	7	978538	3054
train	8192	cds	8	978537	3053
train	8192	cds	9	979528	3057
train	8192	cds	10	976528	3047
train	8192	cds	11	976656	3048
train	8192	exon	0	235523	1528
train	8192	exon	1	234935	1525
train	8192	exon	2	234934	1525
train	8192	exon	3	234904	1524
train	8192	exon	4	234321	1521
train	8192	exon	5	235190	1526
train	8192	exon	6	235350	1527
train	8192	exon	7	235082	1526
train	8192	exon	8	235653	1529
train	8192	exon	9	234999	1525
train	8192	exon	10	235646	1529
train	8192	exon	11	234949	1525
train	8192	five_prime_utr	0	33643	516
train	8192	five_prime_utr	1	33313	511
train	8192	five_prime_utr	2	33141	508
train	8192	five_prime_utr	3	32946	506
train	8192	five_prime_utr	4	33274	511
train	8192	five_prime_utr	5	32935	505
train	8192	five_prime_utr	6	32862	504
train	8192	five_prime_utr	7	33282	511
train	8192	five_prime_utr	8	32951	506
train	8192	five_prime_utr	9	33177	509
train	8192	five_prime_utr	10	33387	512
train	8192	five_prime_utr	11	32906	505
train	8192	three_prime_utr	0	33108	508
train	8192	three_prime_utr	1	33154	509
train	8192	three_prime_utr	2	33251	511
train	8192	three_prime_utr	3	33320	512
train	8192	three_prime_utr	4	33117	508
train	8192	three_prime_utr	5	33302	511
train	8192	three_prime_utr	6	33308	511
train	8192	three_prime_utr	7	32977	506
train	8192	three_prime_utr	8	33024	507
train	8192	three_prime_utr	9	32947	506
train	8192	three_prime_utr	10	33211	510
train	8192	three_prime_utr	11	32878	505
train	8192	intron	0	559026	2036
train	8192	intron	1	558341	2033
train	8192	intron	2	559363	2037
train	8192	intron	3	558629	2035
train	8192	intron	4	557577	2031
train	8192	intron	5	558537	2034
train	8192	intron	6	558800	2035
train	8192	intron	7	558485	2034
train	8192	intron	8	559762	2039
train	8192	intron	9	558414	2034
train	8192	intron	10	557917	2032
train	8192	intron	11	558613	2034
train	8192	gene	0	110999	507
train	8192	gene	1	111395	509
train	8192	gene	2	111159	508
train	8192	gene	3	111174	508
train	8192	gene	4	111648	510
train	8192	gene	5	111041	507
train	8192	gene	6	111337	509
train	8192	gene	7	111496	509
train	8192	gene	8	111337	509
train	8192	gene	9	111697	510
train	8192	gene	10	111361	509
train	8192	gene	11	111285	509
train	8192	mrna	0	22590	302
train	8192	mrna	1	22969	307
train	8192	mrna	2	22843	305
train	8192	mrna	3	22794	304
train	8192	mrna	4	22864	305
train	8192	mrna	5	22958	307
train	8192	mrna	6	22950	307
train	8192	mrna	7	22775	304
train	8192	mrna	8	22838	305
train	8192	mrna	9	22574	302
train	8192	mrna	10	23106	309
train	8192	mrna	11	22833	305
train	8192	transcript	0	416	205
train	8192	transcript	1	410	202
train	8192	transcript	2	442	217
train	8192	transcript	3	409	201
train	8192	transcript	4	429	211
train	8192	transcript	5	412	203
train	8192	transcript	6	444	218
train	8192	transcript	7	380	187
train	8192	transcript	8	415	204
train	8192	transcript	9	427	210
train	8192	transcript	10	379	187
train	8192	transcript	11	399	196
train	8192	background	0	27217	1540
train	8192	background	1	26691	1510
train	8192	background	2	27073	1531
train	8192	background	3	26792	1516
train	8192	background	4	26995	1527
train	8192	background	5	26948	1524
train	8192	background	6	26715	1511
train	8192	background	7	26983	1526
train	8192	background	8	27337	1546
train	8192	background	9	26879	1520
train	8192	background	10	27102	1533
train	8192	background	11	26984	1526
validation	8192	all	0	358482	4157
validation	8192	all	1	359609	4171
validation	8192	all	2	358369	4156
validation	8192	all	3	358338	4156
validation	8192	all	4	358870	4162
validation	8192	all	5	359371	4168
validation	8192	all	6	359314	4167
validation	8192	all	7	359369	4168
validation	8192	all	8	360090	4176
validation	8192	all	9	359914	4174
validation	8192	all	10	359014	4164
validation	8192	all	11	360532	4181
test	8192	all	0	205057	4184
test	8192	all	1	205234	4187
test	8192	all	2	203997	4162
test	8192	all	3	204145	4165
test	8192	all	4	204161	4165
test	8192	all	5	204565	4174
test	8192	all	6	204354	4169
test	8192	all	7	203777	4157
test	8192	all	8	203705	4156
test	8192	all	9	203645	4155
test	8192	all	10	204299	4168
test	8192	all	11	203821	4158
train	32768	cds	0	969173	1527
train	32768	cds	1	968199	1525
train	32768	cds	2	968363	1526
train	32768	cds	3	970824	1529
train	32768	cds	4	968533	1526
train	32768	cds	5	966740	1523
train	32768	cds	6	967763	1525
train	32768	cds	7	969487	1527
train	32768	cds	8	966724	1523
train	32768	cds	9	967673	1525
train	32768	cds	10	969587	1528
train	32768	cds	11	968895	1526
train	32768	exon	0	233182	763
train	32768	exon	1	232619	761
train	32768	exon	2	234271	766
train	32768	exon	3	233220	763
train	32768	exon	4	233303	763
train	32768	exon	5	233083	762
train	32768	exon	6	233147	762
train	32768	exon	7	234160	766
train	32768	exon	8	233172	762
train	32768	exon	9	232700	761
train	32768	exon	10	233417	763
train	32768	exon	11	233377	763
train	32768	five_prime_utr	0	33203	255
train	32768	five_prime_utr	1	33136	255
train	32768	five_prime_utr	2	33283	256
train	32768	five_prime_utr	3	32981	254
train	32768	five_prime_utr	4	32995	254
train	32768	five_prime_utr	5	33134	255
train	32768	five_prime_utr	6	33097	255
train	32768	five_prime_utr	7	33081	255
train	32768	five_prime_utr	8	32919	253
train	32768	five_prime_utr	9	33145	255
train	32768	five_prime_utr	10	32749	252
train	32768	five_prime_utr	11	32940	253
train	32768	three_prime_utr	0	33193	256
train	32768	three_prime_utr	1	32912	253
train	32768	three_prime_utr	2	32867	253
train	32768	three_prime_utr	3	32902	253
train	32768	three_prime_utr	4	33187	255
train	32768	three_prime_utr	5	33255	256
train	32768	three_prime_utr	6	32758	252
train	32768	three_prime_utr	7	33489	258
train	32768	three_prime_utr	8	33067	255
train	32768	three_prime_utr	9	33020	254
train	32768	three_prime_utr	10	32930	253
train	32768	three_prime_utr	11	32976	254
train	32768	intron	0	552769	1016
train	32768	intron	1	553756	1018
train	32768	intron	2	552343	1016
train	32768	intron	3	553136	1017
train	32768	intron	4	552849	1017
train	32768	intron	5	552994	1017
train	32768	intron	6	553560	1018
train	32768	intron	7	554751	1020
train	32768	intron	8	554220	1019
train	32768	intron	9	553576	1018
train	32768	intron	10	552245	1015
train	32768	intron	11	552483	1016
train	32768	gene	0	109778	253
train	32768	gene	1	110174	254
train	32768	gene	2	110246	254
train	32768	gene	3	110374	255
train	32768	gene	4	110500	255
train	32768	gene	5	109882	254
train	32768	gene	6	110447	255
train	32768	gene	7	110240	254
train	32768	gene	8	110858	256
train	32768	gene	9	109713	253
train	32768	gene	10	110599	255
train	32768	gene	11	110295	254
train	32768	mrna	0	22977	154
train	32768	mrna	1	22848	153
train	32768	mrna	2	22770	153
train	32768	mrna	3	22658	152
train	32768	mrna	4	22615	151
train	32768	mrna	5	22615	151
train	32768	mrna	6	22655	152
train	32768	mrna	7	22953	154
train	32768	mrna	8	22929	154
train	32768	mrna	9	22693	152
train	32768	mrna	10	22846	153
train	32768	mrna	11	22732	152
train	32768	transcript	0	415	104
train	32768	transcript	1	380	95
train	32768	transcript	2	418	105
train	32768	transcript	3	390	98
train	32768	transcript	4	416	104
train	32768	transcript	5	419	105
train	32768	transcript	6	413	103
train	32768	transcript	7	441	110
train	32768	transcript	8	420	105
train	32768	transcript	9	418	105
train	32768	transcript	10	376	94
train	32768	transcript	11	374	93
train	32768	background	0	7044	765
train	32768	background	1	6996	760
train	32768	background	2	7070	768
train	32768	background	3	7168	778
train	32768	background	4	6843	743
train	32768	background	5	7105	771
train	32768	background	6	6974	757
train	32768	background	7	7015	762
train	32768	background	8	7075	768
train	32768	background	9	6908	750
train	32768	background	10	7094	770
train	32768	background	11	7031	763
validation	32768	all	0	352688	4183
validation	32768	all	1	351157	4164
validation	32768	all	2	351641	4170
validation	32768	all	3	351623	4170
validation	32768	all	4	350826	4161
validation	32768	all	5	350609	4158
validation	32768	all	6	351465	4168
validation	32768	all	7	351240	4165
