split	context_len	region	available_windows	target_windows	target_tokens	sampling_fraction_of_available
train	32768	cds	11621961	3662	119996416	0.00031509
train	32768	exon	2799651	1831	59998208	0.00065401
train	32768	five_prime_utr	396663	610	19988480	0.00153783
train	32768	three_prime_utr	396556	611	20021248	0.00154077
train	32768	intron	6638682	2442	80019456	0.00036784
train	32768	gene	1323106	610	19988480	0.00046104
train	32768	mrna	273291	366	11993088	0.00133923
train	32768	transcript	4880	244	7995392	0.05000000
train	32768	background	84323	1831	59998208	0.02171412
validation	32768	all	4216214	50000	1638400000	0.01185898
test	32768	all	2306251	50000	1638400000	0.02168021
train	65536	cds	11527972	3662	239992832	0.00031766
train	65536	exon	2784041	1831	119996416	0.00065768
train	65536	five_prime_utr	395244	610	39976960	0.00154335
train	65536	three_prime_utr	395258	611	40042496	0.00154583
train	65536	intron	6585308	2442	160038912	0.00037083
train	65536	gene	1312779	610	39976960	0.00046466
train	65536	mrna	272443	366	23986176	0.00134340
train	65536	transcript	4846	244	15990784	0.05035080
train	65536	background	41258	1831	119996416	0.04437927
validation	65536	all	4174208	50000	3276800000	0.01197832
test	65536	all	2184524	50000	3276800000	0.02288828
train	131072	cds	11403316	6409	840040448	0.00056203
train	131072	exon	2764311	3204	419954688	0.00115906
train	131072	five_prime_utr	393092	1068	139984896	0.00271692
train	131072	three_prime_utr	393335	1068	139984896	0.00271524
train	131072	intron	6512766	4273	560070656	0.00065610
train	131072	gene	1299085	1068	139984896	0.00082212
train	131072	mrna	271037	641	84017152	0.00236499
train	131072	transcript	4756	427	55967744	0.08978133
train	131072	background	20246	3204	419954688	0.15825348
validation	131072	all	4139933	50000	6553600000	0.01207749
test	131072	all	2038185	50000	6553600000	0.02453163
