split	context_len	region	shard_index	available_windows	target_windows
train	32768	cds	0	969173	305
train	32768	cds	1	968199	305
train	32768	cds	2	968363	305
train	32768	cds	3	970824	306
train	32768	cds	4	968533	305
train	32768	cds	5	966740	305
train	32768	cds	6	967763	305
train	32768	cds	7	969487	305
train	32768	cds	8	966724	305
train	32768	cds	9	967673	305
train	32768	cds	10	969587	306
train	32768	cds	11	968895	305
train	32768	exon	0	233182	153
train	32768	exon	1	232619	152
train	32768	exon	2	234271	153
train	32768	exon	3	233220	153
train	32768	exon	4	233303	153
train	32768	exon	5	233083	152
train	32768	exon	6	233147	152
train	32768	exon	7	234160	153
train	32768	exon	8	233172	152
train	32768	exon	9	232700	152
train	32768	exon	10	233417	153
train	32768	exon	11	233377	153
train	32768	five_prime_utr	0	33203	51
train	32768	five_prime_utr	1	33136	51
train	32768	five_prime_utr	2	33283	51
train	32768	five_prime_utr	3	32981	51
train	32768	five_prime_utr	4	32995	51
train	32768	five_prime_utr	5	33134	51
train	32768	five_prime_utr	6	33097	51
train	32768	five_prime_utr	7	33081	51
train	32768	five_prime_utr	8	32919	50
train	32768	five_prime_utr	9	33145	51
train	32768	five_prime_utr	10	32749	50
train	32768	five_prime_utr	11	32940	51
train	32768	three_prime_utr	0	33193	51
train	32768	three_prime_utr	1	32912	51
train	32768	three_prime_utr	2	32867	51
train	32768	three_prime_utr	3	32902	51
train	32768	three_prime_utr	4	33187	51
train	32768	three_prime_utr	5	33255	51
train	32768	three_prime_utr	6	32758	50
train	32768	three_prime_utr	7	33489	51
train	32768	three_prime_utr	8	33067	51
train	32768	three_prime_utr	9	33020	51
train	32768	three_prime_utr	10	32930	51
train	32768	three_prime_utr	11	32976	51
train	32768	intron	0	552769	203
train	32768	intron	1	553756	204
train	32768	intron	2	552343	203
train	32768	intron	3	553136	204
train	32768	intron	4	552849	203
train	32768	intron	5	552994	203
train	32768	intron	6	553560	204
train	32768	intron	7	554751	204
train	32768	intron	8	554220	204
train	32768	intron	9	553576	204
train	32768	intron	10	552245	203
train	32768	intron	11	552483	203
train	32768	gene	0	109778	50
train	32768	gene	1	110174	51
train	32768	gene	2	110246	51
train	32768	gene	3	110374	51
train	32768	gene	4	110500	51
